vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_system,vmrs_subcode,vmrs_description,description_similarity,quality
20934058,GENERAL MOTORS CORP,"VAPOR,CANISTER,PURGE,HOSE",044-016-008,44,16,Lines - Fuel. Evaporative Emission Control,0.0,LOW
20934059,GENERAL MOTORS CORP,"VAPOR,CANISTER,HOSE",044-016-008,44,16,Lines - Fuel. Evaporative Emission Control,0.0,LOW
20R8059,CATERPILLAR TRACTOR,"INJECTOR, REMANUFACTURED",044-014-001,44,14,Injector Assembly - Electronic,0.25,MEDIUM
21172484,VOLVO,FUEL TANK,044-001-001,44,1,Tank - Fuel,1.0,HIGH
21172500,VOLVO,"TANK, FUEL",044-001-001,44,1,Tank - Fuel,1.0,HIGH
21237499,VOLVO,RIGHT-SIDE FUEL TANK,044-001-001,44,1,Tank - Fuel,0.5,HIGH
213-4246,GMC TRUCK DIVISION,OXYGEN SENSOR,044-000-000,44,0,Fuel System,0.0,LOW
21700538,VOLVO,"MOUNTING STRAP, FUEL TANK",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.5,HIGH
21870635,VOLVO,"HOUSING, FILTER, FUEL",044-002-092,44,2,Housing - Fuel Filter,1.0,HIGH
22188820,VOLVO,"HOUSING, FILTER, FUEL",044-002-004,44,2,,0.0,LOW
22188828,VOLVO,"HOUSING, FUEL/WATER SEPARATOR",044-002-000,44,2,Filters,0.0,LOW
22-72685-000,FREIGHTLINER,"CLAMP, FUEL TANK - STEP",044-001-021,44,1,Clamp - Fuel Line,0.4,HIGH
22-73639-110,FREIGHTLINER,"STEP-FUEL TANK, 1100M",044-001-024,44,1,"Step - Strap, Fuel Tank",0.6,HIGH
22-74603-004,FREIGHTLINER,"STEP, 925 X 160, STEEL, SILVER",044-001-024,44,1,"Step - Strap, Fuel Tank",0.1111111111111111,LOW
2277129PE,"PACCAR, INC.","FILTER, FUEL, PRIMARY",044-002-002,44,2,"Element - Fuel Filter, Primary",0.75,HIGH
22802284,GMC TRUCK DIVISION,"FUEL, CAP",044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.4,HIGH
22802285,GENERAL MOTORS CORP,"CAP, TANK, FUEL",044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.6,HIGH
22921365,GENERAL MOTORS CORP,"CAP, FUEL",044-012-020,44,12,Cap - Gaseous Fuel Tank Filler,0.4,HIGH
23044511,VOLVO,"FILTER, FUEL, PRIMARY",044-002-001,44,2,"Filter Assembly - Fuel, Primary",0.75,HIGH
23103351,GENERAL MOTORS CORP,"VAPOR ,CANISTER, FILTER, KIT",044-016-018,44,16,"Filter - Canister, Evaporative Emission Control",0.2857142857142857,MEDIUM
23-13499-005,FREIGHTLINER,ELBOW FITTING 90,044-000-000,44,0,Fuel System,0.0,LOW
23-13639-000,FREIGHTLINER,"FITTING, ELBOW, 45 DEGREE",044-001-012,44,1,Filling - Fuel Line Cooccup,0.0,LOW
23254684,VOLVO,"INSULATOR STRAP, FUEL TANK",044-001-023,44,1,"Insulator - Strap, Fuel Tank",1.0,HIGH
2330478380,HINO,"FILTER, FUEL, PRIMARY",044-002-002,44,2,"Element - Fuel Filter, Primary",0.75,HIGH
23304EV360,HINO,"FILTER, FUEL, PRIMARY",044-002-002,44,2,"Element - Fuel Filter, Primary",0.75,HIGH
2333078134,HINO MOTORS LTD.,"PREFILTER, FUEL",044-002-100,44,2,Prefilter - Fuel System,0.6666666666666666,HIGH
23488939,VOLVO,PRESSURE SENSOR,044-014-000,44,14,Injectors - Electronic,0.0,LOW
23502054,VOLVO,"HARNESS, WIRING, INJECTOR",044-014-021,44,14,Harnoss Injector Extornal,0.2,MEDIUM
23521528,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY",044-002-002,44,2,"Element - Fuel Filter, Primary",0.75,HIGH
23631-U2230-71,TOYOTA,"ASSY, FUEL PIPE",044-001-046,44,1,"Tube - Pickup, Fuel Tank",0.16666666666666666,MEDIUM
23937771,VOLVO,AFTERTREATMENT FUEL INJECTOR,044-014-000,44,14,Injectors - Electronic,0.0,LOW
24009059,VOLVO,"FILTER, FUEL/WATER SEPARATOR",044-002-016,44,2,"Element - Fuel Filter, Water Separator",0.8,HIGH
24137737,VOLVO,"FILTER, FUEL, PRIMARY",044-002-002,44,2,"Element - Fuel Filter, Primary",0.75,HIGH
24191736,"MACK TRUCKS, INC.",PM SOOT SENSOR,044-003-232,44,3,"Sensor - Speed, Fuel Pump",0.16666666666666666,MEDIUM
24365442,VOLVO,ACCELERATOR PEDAL ASSY,044-007-032,44,7,"Bracket, All Cylinder - Milotte ControlBracket Alarm - Boverse Signal",0.0,LOW
24487052,VOLVO,FUEL CAP,044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.4,HIGH
24733518,VOLVO,"STEP, LOWER",044-001-024,44,1,"Step - Strap, Fuel Tank",0.2,MEDIUM
2505090C1,NAVISTAR,"HEATER, ELEMENT, ENGINE",044-015-016,44,15,"Heater - Fuel, Electrical",0.2,MEDIUM
2505326C3,INTERNATIONAL,"BRACKET, TANK",044-001-063,44,1,"Hardware, Mounting - Mounting Bracket, Fuel",0.2,MEDIUM
2510993C2,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",044-002-087,44,2,"Filter - Fuel Filter, Water Separator",1.0,HIGH
2512239C91,NAVISTAR,"KIT, HP OIL RAIL SEALS",044-014-055,44,14,O-Ring Kit - High Pressure Oil Pump,0.2,MEDIUM
2512884C91,INTERNATIONAL,INJECTOR,044-004-000,44,4,Injectors - Mechanical,0.0,LOW
2515207C92,NAVISTAR,"STRAP, FUEL, TANK, KIT",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.5,HIGH
2516133C91,INTERNATIONAL,"TANK, FUEL",044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
25175793,VOLVO,"SENSOR, FUEL LEVEL",044-001-100,44,1,Gasket - Filler Neck Fuel Tank,0.14285714285714285,LOW
2522072C91,INTERNATIONAL,"ADAPTER, INJECTOR OIL INLET",044-014-010,44,14,Check Valve - High Pressure Oil Pump,0.1111111111111111,LOW
2523635C91,NAVISTAR,"FILTER, FUEL, PRIMARY, KIT",044-002-019,44,2,"Replacement Kit - Elements, Euel Filter",0.2857142857142857,MEDIUM
2523636C91,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",044-002-087,44,2,"Filter - Fuel Filter, Water Separator",1.0,HIGH
25-37593-00,CARRIER,"FUEL, BLEEDER , VALVE",044-000-000,44,0,Fuel System,0.25,MEDIUM
25-39392-00,CARRIER,"SHIM, INJECTOR PUMP",044-003-213,44,3,"Hardware, Mounting - Injection Pump Assembly",0.14285714285714285,LOW
25-39881-00SV,CARRIER,"SOLENOID, SPEED/STOP(FUEL/SPEE",044-011-002,44,11,Solenoid - Control Air Injection System,0.1111111111111111,LOW
25-39885-00SV,CARRIER,"PUMP, INJECTION",044-003-020,44,3,Injection Pump Assembly,0.6666666666666666,HIGH
25849108,GENERAL MOTORS CORP,"HOSE, FUEL TANK FILLER",044-000-000,44,0,Fuel System,0.2,MEDIUM
2598852C1,INTERNATIONAL,"SWITCH, CRUISE CONTROL, THRTLE",044-011-016,44,11,"Switch - Set/Resume, Cruise Control System",0.42857142857142855,HIGH
2601477C92,NAVISTAR,"TANK, FUEL, 100GAL",044-001-001,44,1,Tank - Fuel,0.6666666666666666,HIGH
2603439C2,NAVISTAR,"BOWL, FILTER, FUEL/WATER SEP",044-002-012,44,2,"Bowl - Separator, Fuel/Water",0.5,HIGH
2604318C91,NAVISTAR,"FILTER, FUEL, KIT",044-002-019,44,2,"Replacement Kit - Elements, Euel Filter",0.3333333333333333,HIGH
2610789C1,NAVISTAR,"PLATE, BOTTOM, FLUID HEATER",044-015-001,44,15,Heater Assembly - HVAC System,0.14285714285714285,LOW
2643614R1,INTERNATIONAL,LINING FUEL TANK STRAP,044-000-000,44,0,Fuel System,0.2,MEDIUM
27006,GATES,"FUEL , HOSE",044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
2865048,CUMMINS ENGINE CO,"SEAL, FUEL, D RING",044-003-031,44,3,Seal - Injection Pump,0.16666666666666666,MEDIUM
2872288,CUMMINS ENGINE CO,"CONNECTOR, INJECTOR, FUEL",044-004-000,44,4,Injectors - Mechanical,0.0,LOW
2872509,CUMMINS ENGINE CO,"SEAL, O-RING, PUMP, FUEL",044-003-000,44,3,Fuel Pump,0.4,HIGH
2872513,CUMMINS ENGINE CO,"GASKET, COVER, FUEL PUMP",044-003-007,44,3,Gasket - Fuel Pump Cover,1.0,HIGH
2872545RX,CUMMINS ENGINE CO,FUEL PUMP,044-003-000,44,3,Fuel Pump,1.0,HIGH
2872663,CUMMINS ENGINE CO,"GASKET, BODY, FUEL PUMP",044-003-088,44,3,,0.0,LOW
2897245,CUMMINS SUNSTRAND,"TUBE, FUEL SUPPLY",044-000-000,44,0,Fuel System,0.25,MEDIUM
2899572,CUMMINS ENGINE CO,"PIPE, FUEL, INJECTOR, SUPPLY",044-003-019,44,3,"Line - Injection, Fuel Nozzle",0.14285714285714285,LOW
290002,MAXON,"GEAR PUMP, 3 PIECE",044-003-059,44,3,Gear - Pump,0.5,HIGH
2L2Z-9155-AB,FORD MOTOR CO,"FILTER, FUEL, PRIMARY",044-002-001,44,2,"Filter Assembly - Fuel, Primary",0.75,HIGH
3004473C93,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",044-002-016,44,2,"Element - Fuel Filter, Water Separator",0.8,HIGH
3004477C92,INTERNATIONAL,KIT FUEL PRIMER PUMP,044-002-019,44,2,"Replacement Kit - Elements, Euel Filter",0.125,LOW
3005382C1,INTERNATIONAL,BOLT BANJO M8X1,044-000-000,44,0,Fuel System,0.0,LOW
3005793C1,NAVISTAR,"SENSOR, FUEL PRESSURE RAIL",044-003-251,44,3,Sensor Dail Salact,0.16666666666666666,MEDIUM
3005911C1,INTERNATIONAL,HOSE SUPPLY FUEL PRE FILTR,044-003-018,44,3,Hose - Leak-Off. Fuel Nozzle,0.25,MEDIUM
3005921C2,NAVISTAR,"HOSE, SUPPLY, FUEL",044-001-011,44,1,Line - Fuel,0.25,MEDIUM
3007451C91,NAVISTAR,"HOUSING, FILTER, FUEL, KIT",044-002-092,44,2,Housing - Fuel Filter,0.75,HIGH
3007498C94,INTERNATIONAL,"TUBE, FUEL LINE",044-000-000,44,0,Fuel System,0.25,MEDIUM
3008385C1,NAVISTAR,"HOSE,FUEL,SUPPLY",044-001-011,44,1,Line - Fuel,0.25,MEDIUM
3018381C1,INTERNATIONAL,TUBE ASSY.,044-000-000,44,0,Fuel System,0.0,LOW
3033222C92,NAVISTAR,"HOSE, HIGH PRESSURE OIL",044-014-027,44,14,Hose - Feed High Pressure (HFUI),0.5,HIGH
3070136,CUMMINS ENGINE CO,"O-RING,  INJECTOR",044-014-000,44,14,Injectors - Electronic,0.0,LOW
31310-B2300,KIA MOTORS AMERICA,TUBE- FUEL,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
3169577,VOLVO,"COVER, FILTER, FUEL",044-002-022,44,2,Cover - Fuel Filter,1.0,HIGH
334479,THERMO KING,"STRAP, FUEL TANK, RUBBER",044-001-023,44,1,"Insulator - Strap, Fuel Tank",0.6,HIGH
33837,MICROGARD,"FILTER, FUEL, PRIMARY",044-002-019,44,2,"Replacement Kit - Elements, Euel Filter",0.14285714285714285,LOW
3524670C3,NAVISTAR,"BRACKET, SUPPORT",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.0,LOW
3526573C93,NAVISTAR,"SEPERATOR, ASSY, FUEL/WATER",044-002-004,44,2,,0.0,LOW
3533122C3,INTERNATIONAL,"STRAP, FUEL TANK",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.6,HIGH
3547709C2,NAVISTAR,"LINING, FUEL TANK STRAP",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.5,HIGH
3548221C2,INTERNATIONAL,FUEL CAP,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
3559213C2,NAVISTAR,"FITTING, FUEL OUTLET 90DEG VOS",044-001-096,44,1,"Fitting - Vehicle Fuel System, Fuel Line, Hose,",0.2222222222222222,MEDIUM
3559214C2,NAVISTAR,"FITTING, FUEL OUTLET",044-001-012,44,1,Filling - Fuel Line Cooccup,0.16666666666666666,MEDIUM
3571312C1,NAVISTAR,"NYLON, TUBE",044-001-013,44,1,Hose - Flexible,0.0,LOW
3591619C2,NAVISTAR,"CAP, FUEL",044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
3591620C2,INTERNATIONAL,FUEL TANK CAP NON LOCKING,044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.42857142857142855,HIGH
3604,NAPA,"FILTER, FUEL/WATER SEPARATOR",044-002-087,44,2,"Filter - Fuel Filter, Water Separator",1.0,HIGH
3609598C94,INTERNATIONAL,FUEL TANK,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
3678738,CUMMINS ENGINE CO,ORING,044-000-000,44,0,Fuel System,0.0,LOW
3682826,CUMMINS ENGINE CO,"SEAL, GROMMENT",044-000-000,44,0,Fuel System,0.0,LOW
3684202,CUMMINS ENGINE CO,"BOLT, BANJO CONNECTOR",044-003-182,44,3,Bolt - Fuel Line,0.2,MEDIUM
3685808,CUMMINS ENGINE CO,"LINE, SUPPLY, FUEL , INJECTOR",044-003-019,44,3,"Line - Injection, Fuel Nozzle",0.3333333333333333,HIGH
3686371,CUMMINS ENGINE CO,VALVE SOLENOID,044-016-005,44,16,Solenoid - Evaporative Emission Control,0.2,MEDIUM
3691500,CUMMINS ENGINE CO,TUBE FUEL SUPPLY,044-003-147,44,3,"Seal - Adapter, Fuel Injector Lines",0.14285714285714285,LOW
3694024,CUMMINS ENGINE CO,"CONNECTOR, QCK DISCONNECT",044-003-001,44,3,Fuel Pump Assembly,0.0,LOW
370717-1,FREIGHTLINER,FUEL CAP,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
3816784C91,NAVISTAR,TUBE FORMED,044-000-000,44,0,Fuel System,0.0,LOW
382950,"DAVCO, INC.",382 FUEL FILTER ASSY,044-002-000,44,2,Filters,0.0,LOW
3877814C1,INTERNATIONAL,"SWITCH, STEERING, SPEED CNTRL",044-011-007,44,11,Amplifier Assembly - GO,0.0,LOW
